"
",name,jp,difficulty,time,skill,#timey,#8.4 diff,*ms: 9.5,*bottle: 2,*hookshot: 2.75,*gclw: 1,selfsynergy,childchu,chuczl,botwrupee,ganonchu,hovers,endon,childtrade,saria,czl,poachers,bothzl,lightarrow,claimcheck,magic,forest,meg,quiver,pg,gtunic,dmc,dmcchild,fire,fountain,jabu,ice,irons,lonlon,water,longshot,shadow,fortress,gtg,spirit,deku,bganon,aganon,cganon,dc,kd,childreset,beans,swords,child2,marketgs,froghp,map,compass,bosskey,bosskey2,bossdoor,songs4,songs5,songs10,hearts3,hearts4,skulls,silverrupee,goldrupee,strength,bottleslot,bulletbag,bombbag,bbprize,sticks,dins,firearrow,inctunic,incboot,incshield,incsword,incsongs,inchearts,incbeans,incmc,incbk,inclhskull,incirons,incmirror,inclong,incgorons,incwskull,inczoraskull,incgcard,incgtgkey,incctrade,incsaria,incfairy,incforest,incflare,incfirebk,incarrows,incshtrial,incgohma,incdodongo,incbarinade,incfboss,incvolvagia,incwboss,incshboss,incspboss,inclacs,incskulls,incsilvers,incgolds,incbkdoor,incranchskulls,legitlacs
,All 5 Skulltulas in Shadow Temple,闇の神殿の黄金のスタルチュラ5匹,20,15,0.5,14.5,24,11.25,100,100,1,0,*-2.5,*2,*-1,,2.5,,,,2.75,3.5,-3,,,,,,,,,,,,,,,,,,,8,,,,,,*0.25,,,,,,,,,,,*1,*3.5,*6,*1.5,,,,*2,*1,*2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Skulltulas in Spirit Temple,魂の神殿の黄金のスタルチュラ5匹,19,14.5,0.75,13.75,17,2,0.5,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,,5,,,,,,,,,,,,,*3,*2.5,*2,*5,,,*0.75,,,*0.5,*2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 5 Skulltulas in Water Temple,水の神殿の黄金のスタルチュラ5匹,21,15.5,0.75,14.75,25,100,100,100,0.5,0,*-2.5,*2,*-1,,*0.5,,,,2.75,3.5,-3,,,,,,,,,,,,,,1.5,2,,4,4,,,,*-1,,,*0.25,,2,,,,,,,,*3.5,*3.5,*3.75,,,,,,*1.5,*2.5,*2.5,,,,,,,*-6,,,,,,,,,,,,,,,,100,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 8 Death Mountain area Skulltulas,デスマウンテンエリアの黄金のスタルチュラ8匹,10,7.5,0.5,7,15,100,100,0.25,0.75,0,0,,,,,,,,,,,,,,,,,,,0.25,1.25,,,,,,,,,,,,,,,,,,,*1.25,,,*3,,,,,,,,,,,*0.5,,*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 8 Kakariko area Skulltulas,カカリコ村エリアの黄金のスタルチュラ8匹,8,6.25,0.25,6,11,100,100,1.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All 8 Zora's Domain area Skulltulas,ゾーラの里エリアの黄金のスタルチュラ8匹,13,9.75,0.5,9.25,16,100,0,100,1,0,0,,,,,,,,,,,,,,,,,,,,,,2,*0.5,,,,,,,,,,,,,,,,*1.25,,,,,*1,*2,*2,,,,,,,*1,,*4,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,
,Beat Dodongo's Cavern,ドドンゴの洞窟クリア,8,6.25,0.25,6,6,1,0.5,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,3,2,,,,,,,*2,*2,,,,,,,*3,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
,Beat Jabu-Jabu's Belly,ジャブジャブ様のお腹クリア,11,8.25,0.25,8,17,3,0,0,1,0,,,,,,-1.25,,,,,,,,,,,,,,,,,2,5.75,,,,,,,,,,,,,,,,,,,,,,*2,*2,,,,,,,*4,*1,*1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
,Beat the Deku Tree,デクの樹様の中クリア,6,4.75,0.25,4.5,6,0,100,0,0,0,,,,,*0.5,-2,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,5,,,*1.75,,,,,,,,,*2,*2.5,,,,,,,*3,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
,Beat the Fire Temple,炎の神殿クリア,17,12.5,0.25,12.25,19,4,100,0.25,1,0,,,,,*0.25,-1,,,,,,*1,,,2,,,*1,*0.5,1,,10,,,,,,,,,,,,,,*2,,,,,,,,,,*2.5,*4,*2,,,,*2,,*2.5,*2,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
,Beat the Forest Temple,森の神殿クリア,7,5,,5,9,3,0.5,100,1,0,,,,,*0.25,-1,,,,,,,,,3,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2,*1,,*2,,,*1.5,,*3,*1,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
,Beat the Shadow Temple,闇の神殿クリア,8,6,0.75,5.25,20,3.75,100,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,*2,,,,,*3,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100
,Beat the Spirit Temple,魂の神殿クリア,24,18.25,1,17.25,24,100,1,100,0,0,,,,,2.5,-1,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,8,,,,,,,,,,,,,*3,*1,*6,*6,,,*0.75,,*3,*1.5,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100
,Beat the Water Temple,水の神殿クリア,9,6.5,0.25,6.25,10,3,0,100,0,0,,,,,*1,-1,,,,*0.75,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,*2.5,*2.5,,,,,,,*3,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
,Blue Fire,青い炎,5,3.5,,3.5,5,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,2,,1.5,,,,,,,,,,-2.25,2.5,2.25,,,,,,,,,*3,*3,*2.5,,,,,,*1,,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blue Gauntlets,青のグローブ,15,11.25,0.5,10.75,15,100,100,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,3.25,,,,,,,,,,,,,*3,*1,*3,*5,,,*0.75,*-0.5,*0.25,*0.5,*0.75,,,100,,*100,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blue Potion,青いクスリ,5,4,,4,7,5.5,100,0.5,1,0,*-2.5,,*-1,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,,,,,,,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bolero of Fire,炎のボレロ,2,1.5,,1.5,3,100,0,0.25,1,0,,,,,,,,,,,,,,,,,,,*0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,*1.25,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bomb Bag (30),ボム袋(30),1,0,,0,1,3,100,0,0,0,*-2.5,,*-1,,,,,,,,,,,,,,*-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boomerang,ブーメラン,8,6.25,0.25,6,11,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,3.75,,,,,,,,,,,,,,,,,,,,,,*2,*2,,,,,,,*1,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
,Both Gerudo Valley HPs,ゲルドの谷のハートのかけら2つ,5,3.5,,3.5,3,0,0,0,0,0,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,*1,,*1,,,,,,*1.5,*0.5,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both Gerudo's Fortress area Skulltulas,ゲルドの砦の黄金のスタルチュラ2匹,6,4.5,0.25,4.25,8,100,0,100,0,0,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,*2,,,,,,,,,*0.5,*1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both HPs in Death Mountain Crater,デスマウンテン火口のハートのかけら２つ,3,2,,2,3,0.5,0,0,1,0,,,,,*0.25,,,,,,,,,,,,,,,0.5,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,*1,,,,*1.25,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Both HPs in Lost Woods,迷いの森のハートのかけら２つ,19,14.5,,14.5,23,0,0,0,0,0,0,2,,,,,2,2.75,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1.75,,,1.25,,,*2.5,*2,,,,,,,*3,,,*4.5,*1.5,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,,
,Both Hyrule Field area Skulltulas,ハイラル平原エリアの黄金ノスタルチュラ2匹,6,4.25,0.5,3.75,14,1,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,*0.5,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bottled Fairy,ビン(妖精),1,0.5,,0.5,1,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bronze Gauntlets,銅のグローブ,11,8.5,0.75,7.75,14,100,100,2.5,0,0,,,,,*1.5,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,3,2.75,,,,,,,,,,,,,,,,,,,*0.5,,,100,,*100,*100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
,Bullet Bag (40),デクのタネ袋(40),6,4.5,,4.5,5,0,0,0,0,0,,,,,,,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1.25,,,,,,,,,,,,,,,*1,,,,*-1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bullet Bag (50),デクのタネ袋(50),1,0.5,,0.5,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*1,,,,*-1,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cow in House,牛(リンクの家),5,4,,4,6,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat 4 Different Iron Knuckles,アイアンナックを4体撃破,21,16,0.75,15.25,,7,100,100,0,0,,,,,2.5,,*1.5,,*1.5,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,4,,-2.75,3,2.75,,,,,,,,,*3,*1,*7.25,*5,,,*0.75,,*2,*1.5,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat a Skull Kid,スタルキッド撃破,1,0.75,,0.75,1,3.25,0,0,1,0,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat a White Wolfos,ホワイトウルフォス撃破,6,4.75,0.25,4.5,6,0,0,0.5,0,0,,,,,*0.5,,,,,,,,,,,,,,,,,,2,,1.5,1.5,,,,,3,1.5,,,,,,,,,,,,,,*3,*3,,,,,,,*0.5,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat all Lizalfos in Dodongo's Cavern,ドドンゴの洞窟のリザルフォス全て撃破,6,4.5,,4.5,3,1,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,*2,*2,,,,,,,,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat Amy (Green Poe),エイミー撃破(緑のポウ)ｴ,12,9.25,,9.25,11,0,0.5,100,1,0,*-2.5,,*-1,,*1,,,,,,,,,,3,4.25,4.5,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,*4,*2,*2,*5,,,*1.5,,,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Defeat Barinade,バリネード撃破,11,8.5,0.25,8.25,16,2,0,0,1,0,,,,,,-0.25,,,,,,,,,,,,,,,,,2,6.25,,,,,,,,,,,,,,,,,,,,,,*2,*2,,,,,,,*4,*1,*1.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,
,Defeat Big Octo,大オクタ撃破,8,5.75,0.25,5.5,10,2,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,2,1.5,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,,,,*0.5,,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat Bongo-Bongo,ボンゴボンゴ撃破,6,4.75,0.5,4.25,19,3.75,100,100,0,0,,,,,2.5,,,,,*0.25,,,,,,,,,,,,,,,,,,,,5,,,,2,,,,,,,,,,,,,,,*2,,,,,*3,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,100
,Defeat both Flare Dancers,フレアダンサー2体撃破,15,11.5,0.25,11.25,17,3.25,0.5,0.25,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,8,,,,,,,,,,,,,,,,,,,,,,,,*2.5,*4,*2,,,,*1.25,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,100,,,,,,,,,,,,,,,,,,
,Defeat Dark Link,ダークリンク撃破,9,6.75,0.25,6.5,12,7,100,100,0.5,0,*-2.5,,*-1,,*0.5,,,,,*0.75,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,2,,,,,,,,*3.5,*3.5,,,,,,,,*1,*0.25,,,,,,,*-6,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defeat King Dodongo,キングドドンゴ撃破,6,4.5,,4.5,4,1,0.5,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,*2,*2,,,,,,,*3,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,
,Defeat Meg (purple Poe),メグ撃破(紫のポウ),19,14.25,0.25,14,20,6,0.5,100,1,0,,,,,2,,,,,,,,,,3,8.75,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2.5,*4,,*3,,,*1.5,,*0.25,*1,*1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Defeat Morpha,モーファ撃破,8,5.75,0.25,5.5,9,3,0,100,0,0,,,,,*1,-0.5,,,,*0.75,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,*2.5,*2.5,,,,,,,*3,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,
,Defeat Nabooru-Knuckle,アイアンナック(ナボール)撃破,12,9,1,8,18,100,0.5,100,0,0,,,,,*1,-0.5,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,,8,,,,,,,,,,,,,*3,*1,*6,*6,,,*0.75,,,*0.25,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,
,Defeat Phantom Ganon,ファントムガノン撃破,6,4.75,,4.75,8,3,0.5,100,1,0,,,,,*0.25,-0.5,,,,,,,,,3,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2,*1,,*3,,,*1.5,,*3,*1,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
,Defeat Queen Gohma,ゴーマ撃破,6,4.25,,4.25,5,0,0,0,0,0,,,,,*0.5,-0.25,,,*1,,,,,,,,,,,,,,,,,,,,,,,,,5,,,*1.25,,,,,,,,,*2,*2,,,,,,,*3,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,
,Defeat Twinrova,ツインローバ撃破,23,17,1,16,23,100,0.5,100,0,0,,,,,2.5,-1,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,1.5,8,,,,,,,,,,,,,*3,*1,*6,*6,,,*0.75,,*3,*1.5,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,100
,Defeat Volvagia,ヴァルバジア撃破,16,12,0.25,11.75,18,4.25,100,0.25,1,0,,,,,*0.25,-0.5,,,,,,*1.5,,,1,,,*1,*0.5,1,,9,,,,,,,,,,,,,,*1,,,,,,,,,,*2.5,*4,*2,,,,*1.25,,*3.5,*2,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
,Din's Fire,ディンの炎,17,12.75,,12.75,21,0,0,0,0,0,0,2,,,,,2,,3.75,,,,,1.75,,,,,,,1.25,,,,,,,,,,,,,,,,*1.75,,,*1.25,,,*5.5,*4,,*2,*2,,,,*1.75,,,*3.5,*1,*0.5,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,
,Double Defense,防御力2倍,12,9.25,,9.25,16,100,100,0.5,1,0,*-2.5,*2,*-1,,,,,,2.75,3.5,-3,,,1.75,,,,,*0.25,1,,,,,,,,,,,,,,,,*0.5,,,,,,,,,,,,,,,,,,*1.5,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Double Magic,魔力2倍,12,8.75,,8.75,14,2.25,100,0.5,1,0,*-2.5,*2,*-1,,,,,,2.75,3.5,-3,,,1.75,,,,,*0.25,1,,,,,,,,,,,,,,,,*0.25,,,,,,,,,,,,*1,,,,*1,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Epona's Song,エポナの歌,8,6.25,,6.25,8,0,0,0,0,0,,,,,,,,,*2,*-100,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,*1,,,,*2,,,,,,,*1.75,*-3,,,,*0.5,,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exactly 20 Deku Sticks,デクの棒20本,1,0.75,,0.75,1,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Exactly 30 Deku Sticks,デクの棒30本,2,1.5,,1.5,4,2,100,0,0,0,*-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fairy Bow,妖精の弓,11,8,0.25,7.75,12,4,0.5,100,1,0,,,,,*1.25,,,,,,,,,,3,4.25,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2.5,*3,*2,*6,,,*1.5,,*0.25,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Fairy Slingshot,妖精のパチンコ,5,3.5,,3.5,3,0,0,0,0,0,,,,,*0.5,,,,*3,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,*2,*2,,,,,,,,*1,,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Farore's Wind,フロルの風,14,10.5,,10.5,18,2.25,0,0.5,1,0,*-2.5,*2,*-1,,,,,,2.75,3.5,-3,,,1.75,,,,,*0.25,1,,,2,,,,,,,,,,,,,*0.25,,,,,,,,,,*2,*2,,,,,,,*2.5,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,,,,,
,Fill all 4 Bottle Slots,4つの空きビンスロットを全て埋める,6,4.75,,4.75,7,0.5,100,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,*1.5,,,,,,,,,,,,,,,,,,,*3,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fire Arrows,炎の矢,11,8.25,0.5,7.75,12,100,100,0.5,0,0,*-2.5,,*-1,,,,,,,*1,,,,,,,4.5,,,,,,,,,,,1.5,,,3,1,,,,,,,,,,,,,,*3,,*2,,,,,,,,*0.25,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,*100,,,,,,,,,,,,,,,,
,Fire Medallion,炎のメダル,18,13.5,0.25,13.25,19,4.75,0.5,0.5,1,0,,,,,*0.25,,,,,,,*1,,,2,,,*1,*0.5,1,,10,,,,,,,,,,,,,,*2.5,,,,,,,,,,*2,*4,*2,,,,*2,,*2.5,*2,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
,Fire Temple Boss Key,炎の神殿のボス部屋の鍵,4,3,,3,4,12.25,0.5,100,1,0,,,,,,,,,,,,,,,,,,,*0.25,1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,*2.5,,,,*1,,*0.5,,,,,,,,,,,,*2.5,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,
,Forest Medallion,森のメダル,7,5.5,,5.5,10,3,100,1,1,0,*-1,,*-1,,*0.25,-1,,,,3.5,,,,,4,,,4,,,,,,,,,,,,,2,,,,,,,,,,,,,,,*3,*1,,*2,,,*1.5,,*2,*1,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,100,,,,,,
,Forest Temple Boss Key,森の神殿のボス部屋の鍵,13,9.75,0.25,9.5,14,3,0.5,100,1,0,,,,,*1.25,,,,,,,*1,10,,4,4.25,*4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,*2.5,*3.5,*4.25,*5.75,,,*1.5,,,*1,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,
,Free all 9 Gorons in Fire Temple,炎の神殿で９人のゴロンを全員救う,18,13.5,0.25,13.25,20,3,0.5,0.5,1,0,,,,,*0.25,,,,,,,,,,,,,,*0.75,1,,8,,,,,,,,,,,,,,,,,,,,,,,,*2,*4,*2.25,,,,*1.25,,*0.5,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,100,100,,,,,,,,,,,,,,,,,
,Frog's HP,カエルのハートのかけら(嵐の歌),15,11.5,0.25,11.25,17,100,100,100,1,0,,,,,2.5,0,,,,*0.25,,,,,3,,,2.25,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,*2,*1,,*3,,*1.5,*2,,*4,*1.25,*1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,
,Ganon's Castle Boss Key,ガノン城のボス部屋の鍵,4,3.25,,3.25,6,0,100,0,0,0,,,,,,-0.5,*0.75,,*1.5,,,,,,,,,,,,,,,,,,,,,,,,,,-2.75,3,2.75,,,,,,,,,,,*4.25,,,,,,*2,*1,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gerudo's Card,ゲルドの会員証,10,7.75,,7.75,11,1,0,0.75,0,0,,,,,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,0.5,,,,,,,,*0.25,,,*4,,*2.5,,*2.5,,,,,,,*0.25,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,
,Get Bombchu chest in Spirit Temple,魂の神殿のボムチュウ取得,9,7,0.5,6.5,12,1,0,2,0,0,,,,,*1,,,,,*0.25,,,,,,,,,,,,,,,,,,,,,2.5,,5,,,,,,,,,,,,,*2,*1,*2,,,,,,,*0.25,*0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Get to the end of Fire Trial,炎の結界の最後の部屋に到達,10,7.5,0.25,7.25,12,3,0,0.5,1,0,,,,,2.5,-0.5,,,,*0.25,,,,,,,,,*0.25,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,*3.5,,,,,,,*1.5,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Get to the end of Forest Trial,森の結界の最後の部屋に到達,12,8.75,1,7.75,24,0,100,0,1,0,0,,,0,,-0.5,,,,,,,,1.75,,,,,,,0.75,,,,,,,,,,,,,5,-2.75,3,2.75,,,1.25,,,*1,*2,,,,*1,,,,,,*3,*1,,,,,,,,,,3,*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Get to the end of Light Trial,光の結界の最後の部屋に到達,10,7.5,0.25,7.25,17,2.25,100,100,1,0,*-2.5,*2,*-1,,,-0.5,,,2.75,3.5,-3,,,,,,,,,,,,,,,,,,,,,,,,-1.75,3,1.75,,,,,,,,,,,*2.5,,,,,,*1,,*0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Get to the end of Shadow Trial,闇の結界の最後の部屋に到達,20,14.75,0.75,14,24,5,100,1,1,0,,,,,*0.75,-0.5,,,,*2.5,,8,,,,,,*2,*0.75,1,,7,,,,,,,,,,,,,,3,,,,,,,,,,*2,*4,*4.5,,,,*1.25,,*2.5,*1,*0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,
